,RMSE,roll_avg,method
2,2.429379397965509,,baseline
3,2.611147988455435,,baseline
4,2.856082458088758,,baseline
5,2.9012195252406783,,baseline
6,2.465524598015861,,baseline
7,2.5957948248378067,,baseline
8,2.441459738555476,,baseline
9,2.8009159810046897,,baseline
10,2.3516598916577514,,baseline
11,2.4406083004289414,,baseline
12,2.4927127854543825,,baseline
13,2.746386555360923,,baseline
14,2.5447247907335275,,baseline
15,2.8159852513741597,,baseline
16,2.5059537801834653,,baseline
17,2.7594724481095665,,baseline
18,2.747909348402352,,baseline
19,2.5941681376780332,,baseline
20,2.8673165781908176,,baseline
21,2.9349439814959317,2.645168318061703,baseline
22,2.4198540121426015,2.6446920487705574,baseline
23,2.607577703734776,2.6445135345345245,baseline
24,2.745222335826033,2.6389705284213885,baseline
25,2.3674733735785023,2.61228322083828,baseline
26,2.145378287733827,2.596275905324178,baseline
27,2.6053237464712717,2.5967523514058515,baseline
28,2.7381049071027808,2.6115846098332165,baseline
29,3.281288776621732,2.6356032496140687,baseline
30,2.661488408844104,2.651094675473386,baseline
31,2.588968855003554,2.658512703202117,baseline
32,2.450291212194734,2.656391624539135,baseline
33,1.6979750033482162,2.6039710469385,baseline
34,2.997190686767798,2.6265943417402133,baseline
35,2.91455741030421,2.6315229496867163,baseline
36,2.6356872922718773,2.6380096252911365,baseline
37,3.885460229250195,2.6943090143481676,baseline
38,2.8519647470131186,2.699511784278706,baseline
39,2.7945517466001837,2.709530964724814,baseline
40,2.61221731286683,2.6967760014586144,baseline
41,2.7135392214833196,2.685705763457984,baseline
42,2.098643862300861,2.669645255965897,baseline
43,2.5464719336317008,2.666589967460743,baseline
44,2.284848385420851,2.643571269940484,baseline
46,2.6313437497382517,2.656764788748471,baseline
47,2.3539470561068083,2.6671932271671204,baseline
48,3.311244054229385,2.7024892425550258,baseline
49,2.4683968592793106,2.6890038401638523,baseline
50,2.970269348055829,2.6734528687355574,baseline
51,2.8189269204051826,2.6813247943136114,baseline
52,3.2130286576894527,2.712527784447906,baseline
53,3.3757890928678194,2.75880267848156,baseline
54,2.9163593693583483,2.8197218967820663,baseline
55,2.753494256272302,2.8075370752572915,baseline
57,2.7558736458282906,2.7996028870334952,baseline
58,2.649169767112112,2.800277010775507,baseline
59,3.1795983635152836,2.764983917488762,baseline
60,3.049654865054956,2.7748684233908536,baseline
63,2.5732021011671984,2.763800941119204,baseline
64,3.1296685505022097,2.789673503000973,baseline
66,2.6562390904765656,2.786808496450635,baseline
67,2.368976192611143,2.8003251129661493,baseline
68,2.739415073378295,2.8099722699534793,baseline
69,2.4408579328517233,2.8177727473250225,baseline
70,2.2645638348796657,2.7994337515820935,baseline
71,2.4336479211864543,2.803418794836076,baseline
72,2.548823429409535,2.7652977635950835,baseline
73,3.036391310462438,2.7936974861542394,baseline
75,3.0520315031624916,2.7977855939095724,baseline
76,2.865993434366972,2.800138919607662,baseline
79,3.4610765184105357,2.8125413126437158,baseline
80,0.6871480185885945,2.6781092589297546,baseline
84,3.4054322837713062,2.7025629046504025,baseline
85,2.445629139975766,2.6871696488355754,baseline
86,3.0251091521818227,2.700631424153252,baseline
89,2.6471898123416864,2.700532426414731,baseline
90,2.90057254973137,2.686581135725535,baseline
92,2.018933013223757,2.6350450431339754,baseline
94,2.479990801223101,2.630384478136771,baseline
98,2.6295878367269587,2.6053804424480083,baseline
100,2.6555878586482504,2.605347880856592,baseline
101,3.0780354038772013,2.640800841419895,baseline
103,3.2309475181027,2.6653774636561156,baseline
104,2.1031753577164505,2.648493334899352,baseline
108,2.635442768871052,2.6670372815989216,baseline
111,1.58896595922516,2.6248031835008567,baseline
116,2.4790431847508785,2.6213141712679238,baseline
117,1.9192572244776722,2.565457466968686,baseline
118,2.665665384451751,2.5461391610331487,baseline
137,2.453312708257937,2.5255051247276974,baseline
139,2.6927646571829262,2.487089531666317,baseline
142,2.217796162296375,2.563621938851706,baseline
154,2.046022600675446,2.495651454696913,baseline
158,2.133438318738326,2.4800419136350413,baseline
161,2.669235989851335,2.4622482555185172,baseline
175,1.428857358951474,2.401331632849007,baseline
181,2.2169355932917587,2.367149785027026,baseline
196,2.4656383169776848,2.3894850502147222,baseline
243,2.115591184640481,2.371265069385591,baseline
246,1.5071160800000452,2.315141481549245,baseline
261,1.8639941175811015,2.2755617944958875,baseline
369,1.2171851857630887,2.1825192835901817,baseline
